User,Freq
uliseflorida,2
classonde,1
bkh_leung,1
AbrigarProptech,2
dragonuyradio14,3
CREW_Network,1
AlphaComm42,1
cardiogramapps,2
kpaxtonchrist,2
ndahlberg,1
brokerkit,1
Mihok03146478,1
fducastel,1
PropertyJourn,20
Libertas_CP,1
LuisSuarezNY,2
Robisyouragent,2
GCPBID,1
placewise,7
pleccese,1
95gxr,1
IoTtogether,10
nycpermits,2
NextHomeRes,1
CateAgnew,2
particlespacekc,3
karenacoburn1,1
CREMattSD,1
melissa68886163,1
DouglasDowellJD,1
ADscaramuzza,1
RealEstateCafe,1
SoniaLieutier,1
Go5BTwhkytb2aFp,1
IntelligentBldg,1
_adamvv,1
richardphipps7,1
ClaudiaArmesto,1
CurbIQ,1
CREW_GTRPhilly,2
melaniehoole,2
zachfirestone,1
Stoofer_page,1
LatamProptech,9
NickSesma,1
BoxBrownie_com,4
proptechuk,17
