Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4491.pdf"";""BOE-A-2021-4491"")","Resolución de 11 de marzo de 2021, de la Agencia Nacional de Evaluación de la Calidad y Acreditación, por la que se publica la prórroga del Convenio con el Instituto de la Ingeniería de España.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4485.pdf"";""BOE-A-2021-4485"")","Resolución de 11 de febrero de 2021, de la Dirección General de Política Energética y Minas, por la que se determina el incentivo a la reducción de las mermas de transporte correspondientes al año 2015.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13858.pdf"";""BOE-B-2021-13858"")","Anuncio de la Entidad Pública Empresarial Administrador de Infraestructuras Ferroviarias (ADIF), por el que se comunica la nueva fecha de apertura de ofertas económicas del procedimiento de contratación del ""Suministro, instalación y mantenimiento de nuevo videowall para el CRC de Barcelona"". (Expediente: 4.20/46502.0025).",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13870.pdf"";""BOE-B-2021-13870"")",Anuncio de licitación de: Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla. Objeto: Proyecto 01/20 de acondicionamiento de la ETAP de Pedrera para su adaptación a las nuevas condiciones de caudal de funcionamiento (AC/JACARILLA). Expediente: O-01/20-07.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13864.pdf"";""BOE-B-2021-13864"")","Anuncio de licitación de: Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla. Objeto: Servicio de mantenimiento preventivo, predictivo y correctivo de las instalaciones eléctricas existentes en las potabilizadoras de la Mancomunidad de los Canales del Taibilla 2021 -2023 (Varios). Expediente: V-11/20-11.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4396.pdf"";""BOE-A-2021-4396"")","Orden TED/260/2021, de 18 de marzo, por la que se adoptan medidas de acompañamiento a las instalaciones cuyos costes de explotación dependen esencialmente del precio del combustible durante el período de vigencia del estado de alarma debido a la situación de crisis sanitaria ocasionada por el COVID-19.",2021-03-22,"Carburantes y combustibles, Derechos de contaminación negociables, Energía eléctrica, Epidemias, Precios, Producción de energía, Reglamentaciones técnicas",Energía,"BOE-A-2020-6621, BOE-A-2014-6123, BOE-A-2020-2838, BOE-A-2020-3692","DE CONFORMIDAD con el Real Decreto-ley 23/2020, de 23 de junio, DE CONFORMIDAD con el Real Decreto 413/2014, de 6 de junio, EN RELACIÓN con la Orden TED/171/2020, de 24 de febrero, CITA Real Decreto 463/2020, de 14 de marzo","Real Decreto-ley 23/2020, Orden TED/171/2020, Real Decreto 463/2020, Real Decreto 413/2014","ORD IET/1168/2014 ESP, ORD INT/262/2020 ESP, ORD INT/284/2020 ESP, RD 413/2014 ESP, RDL 23/2020 ESP, RES 18/12/2015 ESP (1), RES 9/2/2016 ESP, STC 16/3/2017 ESP, STC 19/9/2016 ESP, STC 20/12/2017 ESP, STC 20/6/2016 ESP (1), STC 24/4/2017 ESP, STC 26/7/2016 ESP, STC 4/5/2017 ESP, STC 5/5/2017 ESP"
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4503.pdf"";""BOE-A-2021-4503"")","Sala Segunda. Sentencia 28/2021, de 15 de febrero de 2021. Recurso de amparo 6093-2019. Promovido por Penrei Inversiones, S.L., respecto de las resoluciones dictadas por un juzgado de primera instancia e instrucción de Lorca en procedimiento de ejecución hipotecaria. Vulneración del derecho a la tutela judicial efectiva: STC 40/2020 [inadecuada utilización de la dirección electrónica habilitada como cauce de comunicación del primer emplazamiento procesal (SSTC 6/2019 y 47/2019) e inadmisión de la oposición a la ejecución resultante de la confusión del deber de las personas jurídicas de relacionarse con la administración de justicia por medio de comunicaciones electrónicas con la regulación del primer emplazamiento en los procesos civiles].",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13869.pdf"";""BOE-B-2021-13869"")",Anuncio de licitación de: Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla. Objeto: Proyecto 02/20 de acondicionamiento de la ETAP de Campotéjar para su adaptación a las nuevas condiciones de caudal de funcionamiento (Mu/ Molina de Segura). Expediente: O-02/20-04.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13855.pdf"";""BOE-B-2021-13855"")","Anuncio de licitación de: ADIF - Presidencia. Objeto: Servicio de asistencia técnica en el proceso de desarrollo, implantación y aplicación de los métodos comunes de seguridad en la Dirección General de Negocio y Operaciones Comerciales. Expediente: 2.21/08108.0009.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4477.pdf"";""BOE-A-2021-4477"")","Resolución de 10 de marzo de 2021, de la Dirección General de Trabajo, por la que se registran y publican las tablas salariales relativas al Convenio colectivo de MDL Distribución Logística, SA.",2021-03-22,"Convenios colectivos, Empresas de servicios, Transportes",,,,,
